time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
18.870315312,-0.036084261,-0.171478674,-0.062617175,0.192702070,0.021152640,-0.460410178,0.020930419,0.197853953,-0.207868770,-0.186258376,-0.032483894,0.172593087,-178.684951782,-938.952758789,2571.895996094,-3385.962158203,2431.409179688,16968.945312500,-0.008805956,3.609121323,1.270021200,-0.784539402,-0.003746626,0.003410544
18.890372210,-0.035431925,-0.165152073,-0.068380021,0.185559005,0.020076010,-0.452593565,0.014030731,0.153081611,-0.117598489,-0.175328135,-0.025349781,0.159434572,-224.619400024,-357.869628906,109.043762207,3147.449951172,344.025390625,3861.250732422,-0.039357424,3.321153879,1.192837834,-0.662405491,-0.009950020,0.001153053
18.910434811,-0.035198726,-0.162041411,-0.071821429,0.185232222,0.019435735,-0.449309766,0.014599804,0.166733608,-0.169274837,-0.065997250,-0.027482321,0.109345481,107.470993042,-1553.111572266,4348.336914062,-6071.254394531,2017.041625977,5174.771972656,0.022207016,3.372134447,1.302362323,-0.794157028,-0.003249429,0.001023180
18.930495781,-0.034830570,-0.158833921,-0.075091168,0.182738647,0.018815262,-0.444706142,0.019576024,0.181875914,-0.190942720,-0.130405620,-0.027896626,0.136306778,-127.149459839,-410.358581543,1437.812500000,-3369.116455078,2088.418701172,13345.072265625,0.001364009,3.445889473,1.202560186,-0.794141710,-0.003611455,0.002880919
18.950642395,-0.034461889,-0.155444756,-0.078599073,0.179349959,0.018156890,-0.439516187,0.020226061,0.187495485,-0.193620875,-0.185672760,-0.029904939,0.176295534,-158.691192627,-711.839355469,1924.022705078,-2428.245605469,1972.098022461,14169.494140625,-0.008749368,3.402510166,1.289346457,-0.755897522,-0.003385671,0.003486321
18.970786645,-0.034084637,-0.151987612,-0.082270361,0.176044911,0.017482724,-0.434269130,0.020926340,0.191540346,-0.202582926,-0.184634537,-0.031375743,0.192824557,-177.377700806,-1043.692749023,2677.526855469,-2620.699707031,2543.375000000,16605.080078125,-0.008480188,3.389311314,1.337526798,-0.732362747,-0.003085166,0.003186651
18.990935134,-0.033436242,-0.145975098,-0.087634057,0.169064298,0.016474484,-0.426251441,0.013459332,0.145929426,-0.109389424,-0.171432555,-0.024046132,0.162823394,-361.965026855,-610.664978027,365.605285645,4527.287597656,555.681884766,6140.014648438,-0.037911214,3.136898994,1.253188372,-0.635865390,-0.009374145,0.001169207
19.011096412,-0.033192903,-0.143018365,-0.090816498,0.168571383,0.015874557,-0.422822386,0.015178429,0.159327582,-0.158029735,-0.070979208,-0.025221985,0.113741107,107.402366638,-1290.494384766,3686.292236328,-5311.239746094,1962.549316406,5416.312011719,0.020447856,3.192631245,1.340228319,-0.757140160,-0.002632793,0.001106491
19.031112536,-0.032820351,-0.139972702,-0.093792938,0.165924206,0.015305866,-0.418058962,0.019623695,0.172682226,-0.174361125,-0.138319939,-0.025169490,0.142032266,-190.062088013,-339.072418213,1236.847656250,-2985.764892578,2155.154785156,14386.848632812,-0.005733544,3.256735325,1.251590610,-0.751756728,-0.003450226,0.002968470
19.051260293,-0.032460876,-0.136765331,-0.096980602,0.162552789,0.014694029,-0.412737280,0.019837195,0.177273601,-0.175505251,-0.185058758,-0.027095731,0.182043970,-215.015182495,-794.506469727,2118.921386719,-2445.684326172,2417.047851562,17639.072265625,-0.010691370,3.212247372,1.337696671,-0.714866877,-0.002905418,0.003550290
19.071323970,-0.032084499,-0.133513406,-0.100276113,0.159317538,0.014075680,-0.407375425,0.020817209,0.180388734,-0.182267353,-0.180628031,-0.028114509,0.197765872,-202.971008301,-890.498718262,2275.862548828,-2084.368164062,2499.921630859,16488.316406250,-0.010990614,3.203947067,1.375673294,-0.695292175,-0.002668041,0.003221879
19.091383501,-0.031454716,-0.127836540,-0.105038002,0.152643412,0.013149720,-0.399214864,0.012747803,0.138177618,-0.096070692,-0.160937399,-0.022181723,0.165701076,-253.197341919,-427.476013184,302.911712646,2964.922851562,406.524353027,4299.263183594,-0.035305664,2.952021122,1.297707200,-0.609960079,-0.008739953,0.001179297
19.111445382,-0.031200320,-0.125061557,-0.107825793,0.152051687,0.012604818,-0.395732522,0.015715050,0.150394991,-0.139321893,-0.072216071,-0.022243746,0.115870290,59.796646118,-655.941467285,1925.026977539,-2918.700927734,1213.058227539,3361.376708984,0.017653916,3.006802797,1.358905792,-0.722721756,-0.002182127,0.001107788
19.131516995,-0.030830750,-0.122194953,-0.110409558,0.149358913,0.012094832,-0.390908688,0.019324545,0.162318856,-0.151687816,-0.140888542,-0.022074541,0.144274026,-162.887268066,-171.175262451,655.038391113,-1653.868896484,1395.027221680,9557.020507812,-0.011155462,3.054377317,1.281719804,-0.713795960,-0.003354168,0.002981636
19.151580101,-0.030478356,-0.119180456,-0.113191850,0.146087125,0.011535470,-0.385511756,0.019567048,0.166505098,-0.152783841,-0.179998711,-0.023806022,0.184704423,-158.137588501,-478.993255615,1265.328002930,-1366.436767578,1666.669555664,12165.442382812,-0.010962812,3.008895874,1.361987829,-0.679983735,-0.002384904,0.003584380
19.171741085,-0.030101020,-0.116143279,-0.116025791,0.142946213,0.010980081,-0.380086243,0.020739704,0.168690607,-0.157212749,-0.174972326,-0.024440773,0.200660318,-174.344665527,-529.501892090,1341.954711914,-1143.676879883,1771.692749023,11758.533203125,-0.013553237,3.000196457,1.388752937,-0.663368464,-0.002366003,0.003240183
19.191906440,-0.029715583,-0.113114193,-0.118799418,0.139740705,0.010426264,-0.374685675,0.021166807,0.168829292,-0.155134425,-0.178436279,-0.024743771,0.201268554,-279.666687012,-703.032104492,1823.259277344,-1652.091186523,2559.119140625,15895.479492188,-0.016833503,3.002690315,1.401788712,-0.656497538,-0.002521751,0.002969874
19.212048564,-0.029093061,-0.107734643,-0.122824065,0.133335799,0.009586071,-0.366322458,0.012311801,0.131684586,-0.079712868,-0.149699807,-0.020176159,0.169380307,-161.460540771,-260.900512695,200.903808594,1750.977539062,270.670135498,2810.499511719,-0.033123005,2.731436014,1.333135486,-0.580215931,-0.008053474,0.001250471
19.232251247,-0.028817713,-0.105143733,-0.125099152,0.132610574,0.009106155,-0.362764508,0.016711436,0.141458526,-0.114432439,-0.074898072,-0.018549809,0.119437665,63.090660095,-819.031921387,2497.107910156,-4056.731689453,2011.107666016,5616.733398438,0.013034438,2.780769348,1.362697124,-0.684329987,-0.001741624,0.001124160
19.252313291,-0.028450079,-0.102453224,-0.127195820,0.129895285,0.008656573,-0.357867479,0.019121710,0.151939929,-0.123267680,-0.142802522,-0.018618587,0.147314265,-133.097671509,-78.736503601,319.098022461,-848.842529297,886.863769531,6113.518066406,-0.016034875,2.807152271,1.298448443,-0.673490107,-0.003146488,0.002987000
19.272468944,-0.028097652,-0.099649251,-0.129433885,0.126732022,0.008162203,-0.352416515,0.019636158,0.154895037,-0.122772932,-0.173820987,-0.019702662,0.187542707,-178.398193359,-391.773223877,1006.218261719,-942.310546875,1670.474121094,11982.359375000,-0.011738662,2.755396605,1.365059018,-0.642516732,-0.001830053,0.003589038
19.292555903,-0.027716190,-0.096842408,-0.131681263,0.123724557,0.007678254,-0.346944928,0.020798473,0.156033427,-0.124906383,-0.167755738,-0.020040106,0.202919513,-201.395034790,-384.282470703,958.709045410,-739.326293945,1634.097900391,10674.935546875,-0.016380869,2.742620230,1.379980206,-0.630902350,-0.002028805,0.003224414
19.312729723,-0.027113620,-0.091904342,-0.134749830,0.117977105,0.006927736,-0.339163005,0.013015832,0.123013340,-0.058417685,-0.144719630,-0.020020403,0.126822740,-329.608215332,-539.691467285,572.153564453,2716.961669922,432.850250244,4217.603027344,-0.028745215,2.478107691,1.309101224,-0.578000605,-0.007959045,0.000884065
19.332815583,-0.026830582,-0.089477323,-0.136586592,0.117079832,0.006522115,-0.335239828,0.017248021,0.132958815,-0.092385575,-0.078857936,-0.015873104,0.117701277,13.212881088,-707.663330078,2168.602783203,-3653.510253906,2101.341064453,10536.727539062,0.010592034,2.515198231,1.317303896,-0.660939813,-0.001754119,0.001940684
19.352902400,-0.026468769,-0.086993463,-0.138196483,0.114367507,0.006136999,-0.330183178,0.018739391,0.140289754,-0.095950454,-0.142284840,-0.015087188,0.158788905,-393.742492676,-128.297790527,511.643829346,-1477.034057617,2156.812744141,16767.113281250,-0.016625833,2.531373501,1.259190202,-0.648353219,-0.003125482,0.003291987
19.373053647,-0.026113443,-0.084413663,-0.139948606,0.111356504,0.005701993,-0.324782193,0.019737827,0.142403170,-0.095463634,-0.166624725,-0.015510475,0.191796243,-8.572107315,-13.963565826,34.715190887,-30.273639679,71.249549866,483.608215332,-0.010806555,2.484743834,1.319775820,-0.623626471,-0.001468790,0.003434100
19.393125036,-0.025531473,-0.079809643,-0.142388105,0.105945550,0.005037688,-0.316575050,0.010775025,0.114171006,-0.045235548,-0.121250309,-0.015952475,0.166854396,-385.525421143,-557.160766602,394.775909424,3630.151611328,808.044372559,6417.348632812,-0.020621788,2.226833582,1.247217059,-0.568448484,-0.006740726,0.001148158
19.413183950,-0.025223568,-0.077623419,-0.143746600,0.105044238,0.004689523,-0.313093811,0.017835950,0.120534554,-0.068367451,-0.076470740,-0.011136208,0.116708852,-1.808928967,-15.686406136,51.025550842,-102.726432800,69.268424988,174.970001221,0.008274133,2.274189711,1.241910219,-0.652886987,-0.001524048,0.001010902
19.433267958,-0.024878338,-0.075338006,-0.145000517,0.102405570,0.004333302,-0.308280408,0.017992111,0.128466338,-0.074163310,-0.139796779,-0.012755914,0.144726664,-299.635040283,-74.641723633,293.302062988,-951.326721191,1563.143798828,10333.127929688,-0.014651868,2.284175396,1.205808520,-0.638310850,-0.002683659,0.002900313
